Subject,Session,SessionRS
sub-A00039755,ses-V2,ses-DS2
sub-A00039758,ses-V2,ses-DS2
sub-A00039783,ses-V2,ses-DS2
sub-A00039819,ses-V2,ses-DS2
sub-A00039820,ses-V2,ses-DS2
sub-A00039845,ses-V2,ses-DS2
sub-A00039846,ses-V2,ses-DS2
sub-A00039866,ses-V2,ses-DS2
sub-A00039895,ses-V2,ses-DS2
sub-A00039916,ses-V2,ses-DS2
sub-A00039923,ses-V2,ses-DS2
sub-A00039943,ses-V2,ses-CLG5
sub-A00039951,ses-V2,ses-DS2
sub-A00039975,ses-V2,ses-ALGA
sub-A00040116,ses-V2,ses-DS2
sub-A00040151,ses-V2,ses-DS2
sub-A00040152,ses-V2,ses-DS2
sub-A00040174,ses-V2,ses-DS2
sub-A00040181,ses-V2,ses-DS2
sub-A00040182,ses-V2,ses-DS2
sub-A00040225,ses-V2,ses-ALGA
sub-A00040248,ses-V2,ses-DS2
sub-A00040257,ses-V2,ses-DS2
sub-A00040285,ses-V2,ses-DS2
sub-A00040286,ses-V2,ses-DS2
sub-A00040311,ses-V2,ses-DS2
sub-A00040312,ses-V2,ses-DS2
sub-A00040324,ses-V2,ses-DS2
sub-A00040342,ses-V2,ses-DS2
sub-A00040343,ses-V2,ses-DS2
sub-A00040351,ses-V2,ses-DS2
sub-A00040382,ses-V2,ses-DS2
sub-A00040383,ses-V2,ses-DS2
sub-A00040439,ses-V2,ses-DS2
sub-A00040461,ses-V2,ses-DS2
sub-A00040493,ses-V2,ses-DS2
sub-A00040494,ses-V2,ses-DS2
sub-A00040500,ses-V2,ses-DS2
sub-A00040517,ses-V2,ses-DS2
sub-A00040525,ses-V2,ses-DS2
sub-A00040567,ses-V2,ses-DS2
sub-A00040573,ses-V2,ses-DS2
sub-A00040580,ses-V2,ses-DS2
sub-A00040594,ses-V2,ses-DS2
sub-A00040599,ses-V2,ses-DS2
sub-A00040629,ses-V2,ses-DS2
sub-A00040678,ses-V2,ses-DS2
sub-A00040740,ses-V2,ses-DS2
sub-A00040741,ses-V2,ses-DS2
sub-A00040757,ses-V2,ses-DS2
sub-A00040784,ses-V2,ses-DS2
sub-A00040800,ses-V2,ses-CLG2
sub-A00040806,ses-V2,ses-DS2
sub-A00040827,ses-V2,ses-DS2
sub-A00041540,ses-V2,ses-DS2
